sample_id,dataset,category_or_subset,model_name,num_detections,top_confidence,detection_status,inference_time_ms
sample_0062,ScienceDB,BCS_4.0,FasterRCNN_v2,1,0.7431,detected,489.59
sample_0062,ScienceDB,BCS_4.0,RT-DETR-L,1,0.2875,detected,94.54
sample_0063,ScienceDB,BCS_4.0,YOLOv8s,2,0.941,detected,23.86
sample_0063,ScienceDB,BCS_4.0,FasterRCNN_v2,5,0.9957,detected,487.39
sample_0063,ScienceDB,BCS_4.0,RT-DETR-L,14,0.9555,detected,93.43
sample_0064,ScienceDB,BCS_4.0,YOLOv8s,4,0.8403,detected,24.33
sample_0064,ScienceDB,BCS_4.0,FasterRCNN_v2,11,0.9978,detected,487.74
sample_0064,ScienceDB,BCS_4.0,RT-DETR-L,9,0.9551,detected,92.69
sample_0065,ScienceDB,BCS_4.0,YOLOv8s,1,0.9048,detected,23.88
sample_0065,ScienceDB,BCS_4.0,FasterRCNN_v2,2,0.9997,detected,490.15
sample_0065,ScienceDB,BCS_4.0,RT-DETR-L,10,0.9565,detected,92.85
sample_0066,ScienceDB,BCS_4.0,YOLOv8s,1,0.2565,detected,23.39
sample_0066,ScienceDB,BCS_4.0,FasterRCNN_v2,3,0.9659,detected,488.86
sample_0066,ScienceDB,BCS_4.0,RT-DETR-L,3,0.945,detected,94.53
sample_0067,ScienceDB,BCS_4.0,YOLOv8s,2,0.8971,detected,23.53
sample_0067,ScienceDB,BCS_4.0,FasterRCNN_v2,6,0.9958,detected,489.82
sample_0067,ScienceDB,BCS_4.0,RT-DETR-L,10,0.9375,detected,92.54
sample_0068,ScienceDB,BCS_4.0,YOLOv8s,0,,no_detection,22.25
sample_0068,ScienceDB,BCS_4.0,FasterRCNN_v2,2,0.8714,detected,491.64
sample_0068,ScienceDB,BCS_4.0,RT-DETR-L,1,0.8754,detected,94.63
sample_0069,ScienceDB,BCS_4.0,YOLOv8s,0,,no_detection,27.46
sample_0069,ScienceDB,BCS_4.0,FasterRCNN_v2,5,0.9664,detected,490.83
sample_0069,ScienceDB,BCS_4.0,RT-DETR-L,6,0.5634,detected,95.2
sample_0070,ScienceDB,BCS_4.0,YOLOv8s,1,0.6047,detected,23.64
sample_0070,ScienceDB,BCS_4.0,FasterRCNN_v2,3,0.9671,detected,490.69
sample_0070,ScienceDB,BCS_4.0,RT-DETR-L,3,0.9494,detected,94.53
sample_0071,ScienceDB,BCS_4.0,YOLOv8s,0,,no_detection,22.85
sample_0071,ScienceDB,BCS_4.0,FasterRCNN_v2,2,0.9498,detected,493.5
sample_0071,ScienceDB,BCS_4.0,RT-DETR-L,7,0.7904,detected,95.05
sample_0072,ScienceDB,BCS_4.0,YOLOv8s,0,,no_detection,22.67
sample_0072,ScienceDB,BCS_4.0,FasterRCNN_v2,2,0.8776,detected,491.38
sample_0072,ScienceDB,BCS_4.0,RT-DETR-L,1,0.3546,detected,94.67
sample_0073,ScienceDB,BCS_4.0,YOLOv8s,4,0.4913,detected,24.81
sample_0073,ScienceDB,BCS_4.0,FasterRCNN_v2,6,0.9839,detected,490.0
sample_0073,ScienceDB,BCS_4.0,RT-DETR-L,5,0.9479,detected,94.22
sample_0074,ScienceDB,BCS_4.0,YOLOv8s,1,0.554,detected,23.12
sample_0074,ScienceDB,BCS_4.0,FasterRCNN_v2,3,0.9974,detected,488.91
sample_0074,ScienceDB,BCS_4.0,RT-DETR-L,10,0.4167,detected,93.95
sample_0075,ScienceDB,BCS_4.0,YOLOv8s,0,,no_detection,25.78
sample_0075,ScienceDB,BCS_4.0,FasterRCNN_v2,1,0.8864,detected,490.79
sample_0075,ScienceDB,BCS_4.0,RT-DETR-L,4,0.489,detected,94.57
sample_0076,ScienceDB,BCS_4.0,YOLOv8s,1,0.5014,detected,23.07
sample_0076,ScienceDB,BCS_4.0,FasterRCNN_v2,1,0.4494,detected,487.43
sample_0076,ScienceDB,BCS_4.0,RT-DETR-L,2,0.9703,detected,93.51
sample_0077,ScienceDB,BCS_4.0,YOLOv8s,3,0.8096,detected,26.88
sample_0077,ScienceDB,BCS_4.0,FasterRCNN_v2,10,0.9991,detected,490.69
sample_0077,ScienceDB,BCS_4.0,RT-DETR-L,11,0.949,detected,92.99
sample_0078,ScienceDB,BCS_4.0,YOLOv8s,1,0.3307,detected,30.4
sample_0078,ScienceDB,BCS_4.0,FasterRCNN_v2,2,0.8919,detected,478.83
sample_0078,ScienceDB,BCS_4.0,RT-DETR-L,4,0.6735,detected,94.57
sample_0079,ScienceDB,BCS_4.0,YOLOv8s,1,0.7463,detected,23.47
sample_0079,ScienceDB,BCS_4.0,FasterRCNN_v2,2,0.9859,detected,490.61
sample_0079,ScienceDB,BCS_4.0,RT-DETR-L,9,0.6081,detected,94.93
sample_0080,ScienceDB,BCS_4.0,YOLOv8s,1,0.9021,detected,23.85
sample_0080,ScienceDB,BCS_4.0,FasterRCNN_v2,4,0.9994,detected,489.83
sample_0080,ScienceDB,BCS_4.0,RT-DETR-L,4,0.938,detected,95.22
sample_0081,ScienceDB,BCS_4.25,YOLOv8s,0,,no_detection,21.93
sample_0081,ScienceDB,BCS_4.25,FasterRCNN_v2,1,0.4818,detected,491.86
sample_0081,ScienceDB,BCS_4.25,RT-DETR-L,1,0.7933,detected,94.47
sample_0082,ScienceDB,BCS_4.25,YOLOv8s,1,0.8347,detected,23.98
sample_0082,ScienceDB,BCS_4.25,FasterRCNN_v2,2,0.996,detected,490.76
sample_0082,ScienceDB,BCS_4.25,RT-DETR-L,9,0.9625,detected,93.8
sample_0083,ScienceDB,BCS_4.25,YOLOv8s,0,,no_detection,22.28
sample_0083,ScienceDB,BCS_4.25,FasterRCNN_v2,0,,no_detection,489.35
sample_0083,ScienceDB,BCS_4.25,RT-DETR-L,0,,no_detection,94.21
sample_0084,ScienceDB,BCS_4.25,YOLOv8s,3,0.9099,detected,23.37
sample_0084,ScienceDB,BCS_4.25,FasterRCNN_v2,4,0.9867,detected,490.53
sample_0084,ScienceDB,BCS_4.25,RT-DETR-L,7,0.9665,detected,94.03
sample_0085,ScienceDB,BCS_4.25,YOLOv8s,2,0.7379,detected,24.69
sample_0085,ScienceDB,BCS_4.25,FasterRCNN_v2,8,0.9749,detected,488.93
sample_0085,ScienceDB,BCS_4.25,RT-DETR-L,8,0.9551,detected,94.27
sample_0086,ScienceDB,BCS_4.25,YOLOv8s,0,,no_detection,23.04
sample_0086,ScienceDB,BCS_4.25,FasterRCNN_v2,1,0.2969,detected,488.73
sample_0086,ScienceDB,BCS_4.25,RT-DETR-L,4,0.6827,detected,94.61
sample_0087,ScienceDB,BCS_4.25,YOLOv8s,0,,no_detection,22.88
